ID,TimeStep,CumActualTime,TOTAL,CumQuant
1,0,0:00,92,92
2,15,0:15,84,176
3,30,0:30,95,271
4,45,0:45,95,366
5,60,1:00,53,419
6,75,1:15,17,436
7,90,1:30,35,471
8,105,1:45,38,509
9,120,2:00,76,585
10,135,2:15,84,669
11,150,2:30,15,684
12,165,2:45,47,731
13,180,3:00,45,776
14,195,3:15,58,834
15,210,3:30,89,923
16,225,3:45,55,978
17,240,4:00,61,1039
18,255,4:15,51,1090
19,270,4:30,49,1139
20,285,4:45,37,1176
21,300,5:00,24,1200
22,315,5:15,54,1254
23,330,5:30,65,1319
24,345,5:45,73,1392
25,360,6:00,36,1428
26,375,6:15,92,1520
27,390,6:30,27,1547
28,405,6:45,61,1608
29,420,7:00,35,1643
30,435,7:15,20,1663
31,450,7:30,53,1716
32,465,7:45,19,1735
33,480,8:00,46,1781
34,495,8:15,78,1859
35,510,8:30,71,1930
36,525,8:45,87,2017
37,540,9:00,48,2065
38,555,9:15,84,2149
39,570,9:30,62,2211
40,585,9:45,82,2293
41,600,10:00,96,2389
42,615,10:15,35,2424
43,630,10:30,100,2524
44,645,10:45,87,2611
45,660,11:00,73,2684
46,675,11:15,74,2758
47,690,11:30,32,2790
48,705,11:45,31,2821
49,720,12:00,98,2919
50,735,12:15,48,2967
51,750,12:30,87,3054
52,765,12:45,85,3139
53,780,13:00,79,3218
54,795,13:15,65,3283
55,810,13:30,47,3330
56,825,13:45,16,3346
57,840,14:00,35,3381
58,855,14:15,82,3463
59,870,14:30,71,3534
60,885,14:45,22,3556
61,900,15:00,40,3596
62,915,15:15,89,3685
63,930,15:30,85,3770
64,945,15:45,61,3831
65,960,16:00,94,3925
66,975,16:15,42,3967
67,990,16:30,56,4023
68,1005,16:45,34,4057
69,1020,17:00,84,4141
70,1035,17:15,22,4163
71,1050,17:30,41,4204
72,1065,17:45,37,4241
73,1080,18:00,46,4287
74,1095,18:15,38,4325
75,1110,18:30,10,4335
76,1125,18:45,51,4386
77,1140,19:00,59,4445
78,1155,19:15,42,4487
79,1170,19:30,37,4524
80,1185,19:45,56,4580
81,1200,20:00,82,4662
82,1215,20:15,20,4682
83,1230,20:30,30,4712
84,1245,20:45,44,4756
85,1260,21:00,81,4837
86,1275,21:15,97,4934
87,1290,21:30,46,4980
88,1305,21:45,27,5007
89,1320,22:00,35,5042
90,1335,22:15,65,5107
91,1350,22:30,84,5191
92,1365,22:45,71,5262
93,1380,23:00,21,5283
94,1395,23:15,88,5371
95,1410,23:30,54,5425
96,1425,23:45,88,5513
